Date,FPI_Equity_Flow,FPI_Debt_Flow,FPI_Total_Flow,FPI_Equity_Flow_3M,FPI_Debt_Flow_3M,FPI_Equity_Flow_12M,FPI_Debt_Flow_12M
2010-01-01,348.36,480.53,828.88,,,,
2010-01-04,30.87,-54.19,-23.32,,,,
2010-01-05,423.84,485.98,909.83,,,,
2010-01-06,861.51,26.53,888.05,,,,
2010-01-07,-17.08,-502.57,-519.65,,,,
2010-01-08,-17.07,317.62,300.55,,,,
2010-01-11,889.61,-126.97,762.64,,,,
2010-01-12,483.72,259.61,743.32,,,,
2010-01-13,-134.74,57.56,-77.17,,,,
2010-01-14,371.28,-412.94,-41.66,,,,
2010-01-15,-131.71,99.29,-32.42,,,,
2010-01-18,-132.86,708.87,576.0,,,,
2010-01-19,220.98,197.9,418.88,,,,
2010-01-20,-856.64,32.74,-823.9,,,,
2010-01-21,-762.46,372.6,-389.86,,,,
2010-01-22,-181.14,113.2,-67.94,,,,
2010-01-25,-406.42,112.86,-293.56,,,,
2010-01-26,257.12,-277.49,-20.36,,,,
2010-01-27,-354.01,120.15,-233.86,,,,
2010-01-28,-606.15,360.63,-245.52,,,,
2010-01-29,832.82,-200.82,632.01,,,,
2010-02-01,-12.89,477.35,464.46,,,,
2010-02-02,133.76,22.49,156.25,,,,
2010-02-03,-612.37,-216.33,-828.7,,,,
2010-02-04,-172.19,349.29,177.1,,,,
2010-02-05,155.46,-36.04,119.42,,,,
2010-02-08,-475.5,277.85,-197.64,,,,
2010-02-09,287.85,-37.53,250.32,,,,
2010-02-10,-200.32,32.05,-168.27,,,,
2010-02-11,-45.85,198.07,152.22,,,,
2010-02-12,-200.85,137.27,-63.58,,,,
2010-02-15,1026.14,-548.66,477.48,,,,
2010-02-16,93.25,-286.37,-193.12,,,,
2010-02-17,-428.86,328.82,-100.03,,,,
2010-02-18,511.27,10.36,521.63,,,,
2010-02-19,-510.42,-107.12,-617.54,,,,
2010-02-22,204.43,-357.57,-153.14,,,,
2010-02-23,-879.84,-273.92,-1153.76,,,,
2010-02-24,-564.09,-556.54,-1120.63,,,,
2010-02-25,198.43,19.62,218.05,,,,
2010-02-26,469.23,-129.53,339.7,,,,
2010-03-01,185.68,-239.98,-54.29,,,,
2010-03-02,42.18,29.56,71.74,,,,
2010-03-03,-50.55,159.19,108.64,,,,
2010-03-04,-639.26,677.96,38.7,,,,
2010-03-05,-259.92,-403.57,-663.49,,,,
2010-03-08,-130.32,397.81,267.49,,,,
2010-03-09,628.56,341.93,970.49,,,,
2010-03-10,271.81,-183.73,88.08,,,,
2010-03-11,-781.52,110.97,-670.55,,,,
2010-03-12,262.04,-87.29,174.75,,,,
2010-03-15,-92.54,105.71,13.17,,,,
2010-03-16,-238.46,502.74,264.28,,,,
2010-03-17,405.84,231.68,637.52,,,,
2010-03-18,615.5,202.58,818.08,,,,
2010-03-19,565.64,-79.09,486.55,,,,
2010-03-22,-319.61,-395.22,-714.83,,,,
2010-03-23,-54.61,-12.54,-67.15,,,,
2010-03-24,265.63,411.98,677.61,,,,
2010-03-25,587.77,-408.15,179.62,,,,
2010-03-26,-139.59,-266.53,-406.11,,,,
2010-03-29,7.17,87.88,95.05,,,,
2010-03-30,-453.17,-245.4,-698.56,774.74,2413.14,,
2010-03-31,-498.1,-187.76,-685.86,-71.72000000000003,1744.8500000000001,,
2010-04-01,506.26,-77.08,429.18,403.66999999999996,1721.9600000000003,,
2010-04-02,778.12,-359.69,418.43,757.95,876.2900000000002,,
2010-04-05,63.99,-242.24,-178.24,-39.57000000000006,607.52,,
2010-04-06,601.77,261.03,862.79,579.28,1371.1200000000001,,
2010-04-07,280.82,-342.21,-61.39,877.1700000000001,711.2900000000001,,
2010-04-08,-222.56,-429.36,-651.92,-235.0,408.9000000000001,,
2010-04-09,280.7,-139.01,141.69,-438.02000000000004,10.280000000000086,,
2010-04-12,869.02,269.59,1138.6,565.74,222.31000000000006,,
2010-04-13,82.09,-9.08,73.01,276.55000000000007,626.17,,
2010-04-14,882.32,-89.37,792.95,1290.5800000000002,437.51000000000005,,
2010-04-15,-1209.87,63.31,-1146.56,213.57000000000016,-208.04999999999995,,
2010-04-16,510.95,-473.71,37.24,503.54000000000025,-879.6599999999999,,
2010-04-19,143.52,198.41,341.94,1503.7000000000003,-713.9899999999999,,
2010-04-20,-49.5,165.03,115.53,2216.6600000000003,-921.56,,
2010-04-21,145.88,-72.79,73.09,2543.6800000000003,-1107.55,,
2010-04-22,-893.78,351.78,-542.01,2056.32,-868.6299999999999,,
2010-04-23,-9.84,-288.25,-298.08,1789.3600000000001,-879.3899999999999,,
2010-04-26,278.56,388.37,666.93,2421.9300000000003,-611.1700000000001,,
2010-04-27,838.95,96.35,935.3,3867.03,-875.45,,
2010-04-28,-159.14,-50.97,-210.1,2875.0700000000006,-725.6000000000001,,
2010-04-29,-304.25,44.04,-260.21,2583.71,-1158.91,,
2010-04-30,-150.88,17.82,-133.06,2299.07,-1163.58,,
2010-05-03,557.7,416.08,973.79,3469.1400000000003,-531.1700000000001,,
2010-05-04,264.38,-273.0,-8.63,3905.7100000000005,-1153.46,,
2010-05-05,-164.88,-178.76,-343.64,3585.3700000000003,-1296.18,,
2010-05-06,356.63,360.89,717.52,4417.5,-1213.1399999999999,,
2010-05-07,148.54,-128.66,19.88,4278.1900000000005,-1304.27,,
2010-05-10,584.32,320.16,904.48,5062.830000000001,-1016.16,,
2010-05-11,-251.03,559.83,308.8,4857.650000000001,-654.4,,
2010-05-12,-63.83,-70.54,-134.37,4994.670000000001,-862.2099999999999,,
2010-05-13,-96.05,254.41,158.35,3872.48,-59.139999999999986,,
2010-05-14,-631.76,-296.11,-927.87,3147.4700000000003,-68.88,,
2010-05-17,248.06,276.42,524.48,3824.3900000000003,-121.27999999999997,,
2010-05-18,230.53,109.83,340.35,3543.6500000000005,-21.809999999999988,,
2010-05-19,102.56,191.91,294.47,4156.63,277.22,,
2010-05-20,-17.29,-143.67,-160.97,3934.9100000000003,491.12,,
2010-05-21,-607.69,-448.33,-1056.01,4207.0599999999995,316.71000000000004,,
2010-05-24,-110.32,200.98,90.65,4660.83,1074.23,,
2010-05-25,-71.36,-569.02,-640.38,4391.040000000001,485.59000000000015,,
2010-05-26,-301.14,-45.21,-346.34,3620.67,569.91,,
2010-05-27,19.36,332.35,351.71,3454.3500000000004,1142.24,,
2010-05-28,302.03,107.57,409.59,3714.2000000000003,1220.25,,
2010-05-31,1043.09,634.5,1677.6,4807.84,1695.56,,
2010-06-01,187.29,357.53,544.82,5634.39,1375.13,,
2010-06-02,228.78,-146.17,82.61,6123.09,1632.53,,
2010-06-03,62.78,58.19,120.97,6316.1900000000005,1292.91,,
2010-06-04,-859.39,35.79,-823.6,4828.240000000001,986.77,,
2010-06-07,86.74,-424.65,-337.91,4643.17,745.8499999999999,,
2010-06-08,130.12,-232.12,-102.0,5554.81,402.75999999999993,,
