Date,Year,Month,Value,Indicator,Source,Frequency,File,Original_Indicator
2026-04-03,2026,4,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-03-27,2026,3,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-03-20,2026,3,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-03-13,2026,3,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-03-06,2026,3,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-02-27,2026,2,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-02-20,2026,2,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-02-13,2026,2,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-02-06,2026,2,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-01-30,2026,1,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-01-23,2026,1,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-01-16,2026,1,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-01-09,2026,1,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2026-01-02,2026,1,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-12-26,2025,12,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-12-19,2025,12,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-12-12,2025,12,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-12-05,2025,12,5.25,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-11-28,2025,11,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-11-21,2025,11,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-11-14,2025,11,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-11-07,2025,11,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-10-31,2025,10,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-10-24,2025,10,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-10-17,2025,10,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-10-10,2025,10,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-10-03,2025,10,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-09-26,2025,9,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-09-19,2025,9,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
2025-09-12,2025,9,5.5,Policy_Rate_Repo,RBI_Bulletin_Weekly,Weekly,50 Macroeconomic Indicators(1).xlsx,Policy Repo Rate (%)
