Date,Year,Month,Value,Indicator,Source,Frequency,File,Original_Indicator
2012-13,2012,,5.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.1 GDP
2011-12,2011,,5.1,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.1 GDP
2012-13,2012,,5.4,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.1 GDP
2013-14,2013,,4.4,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.1 GDP
2012-13,2012,,1.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.2 Index of Industrial Production
2011-12,2011,,-2.0,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.2 Index of Industrial Production
2012-13,2012,,-0.1,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,1.2 Index of Industrial Production
2012-13,2012,,14.2,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.1 Deposits
2011-12,2011,,13.5,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.1 Deposits
2012-13,2012,,13.9,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.1 Deposits
2013-14,2013,,13.4,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.1 Deposits
2012-13,2012,,14.1,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2 Credit
2011-12,2011,,16.5,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2 Credit
2012-13,2012,,17.3,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2 Credit
2013-14,2013,,14.9,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2 Credit
2012-13,2012,,14.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2.1 Non-food Credit
2011-12,2011,,16.1,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2.1 Non-food Credit
2012-13,2012,,16.9,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2.1 Non-food Credit
2013-14,2013,,15.1,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.1.2.1 Non-food Credit
2012-13,2012,,6.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.2.1 Reserve Money (M0)
2011-12,2011,,7.8,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.2.1 Reserve Money (M0)
2012-13,2012,,6.6,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.2.1 Reserve Money (M0)
2013-14,2013,,6.8,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_10092013.xls,2.2.1 Reserve Money (M0)
